1	You	_	_	PRON	PRON	_	_	2	2	nsubj	nsubj	_	_	_	ARG0	_	_
2	have	_	_	VERB	VERB	_	_	0	0	root	root	Y	V.02	_	_	_	_
3	to	_	_	PART	PART	_	_	4	4	mark	mark	_	_	_	_	_	_
4	see	_	_	VERB	VERB	_	_	2	2	xcomp	xcomp	Y	V.01	_	_	_	_
5	these	_	_	DET	DET	_	_	6	6	det	det	_	_	_	_	_	_
6	slides	_	_	NOUN	NOUN	_	_	4	4	obj	obj	_	_	_	ARG1	_	_
7	....	_	_	PUNCT	PUNCT	_	_	2	2	punct	punct	_	_	_	_	_	_
8	they	_	_	PRON	PRON	_	_	10	10	nsubj	nsubj	_	_	_	_	ARG1	_
9	are	_	_	AUX	AUX	_	_	10	10	cop	cop	Y	V.01	_	_	_	_
10	amazing	_	_	ADJ	ADJ	_	_	4	4	parataxis	parataxis	Y	V.01	_	_	ARG2	_
11	.	_	_	PUNCT	PUNCT	_	_	2	2	punct	punct	_	_	_	_	_	_

1	I	_	_	PRON	PRON	_	_	4	4	nsubj	nsubj	_	_	ARG1	_	_	_
2	'm	_	_	AUX	AUX	_	_	4	4	cop	cop	Y	V.01	_	_	_	_
3	not	_	_	PART	PART	_	_	4	4	advmod	advmod	_	_	ARGM-NEG	_	_	_
4	fond	_	_	ADJ	ADJ	_	_	0	0	root	root	Y	V.01	ARG2	_	_	_
5	of	_	_	ADP	ADP	_	_	12	12	case	case	_	_	_	_	_	_
6	the	_	_	DET	DET	_	_	0	0	det	det	_	_	_	_	_	_
7	Google	_	_	PROPN	PROPN	_	_	9	9	nsubj	nsubj	_	_	_	_	ARG0	_
8	-	_	_	PUNCT	PUNCT	_	_	9	9	punct	punct	_	_	_	_	_	_
9	hates	_	_	VERB	VERB	_	_	0	0	_	_	Y	V.01	_	_	_	_
10	-	_	_	PUNCT	PUNCT	_	_	11	11	punct	punct	_	_	_	_	_	_
11	privacy	_	_	NOUN	NOUN	_	_	9	9	obj	obj	_	_	_	_	ARG1	_
12	argument	_	_	NOUN	NOUN	_	_	4	4	obl	obl	Y	V.01	_	_	ARG0	_

1	Iran	_	_	PROPN	PROPN	_	_	2	2	nsubj	nsubj	_	_	ARG0	_	_	_
2	says	_	_	VERB	VERB	_	_	0	0	root	root	Y	V.01	_	_	_	_
3	it	_	_	PRON	PRON	_	_	5	5	nsubj	nsubj	_	_	_	_	ARG0	_
4	is	_	_	AUX	AUX	_	_	5	5	aux	aux	Y	V.03	_	_	_	_
5	creating	_	_	VERB	VERB	_	_	2	2	ccomp	ccomp	Y	V.01	ARG1	_	_	_
6	nuclear	_	_	ADJ	ADJ	_	_	7	7	amod	amod	_	_	_	_	_	_
7	energy	_	_	NOUN	NOUN	_	_	5	5	obj	obj	_	_	_	_	ARG1	_
8	without	_	_	SCONJ	SCONJ	_	_	9	9	mark	mark	_	_	_	_	_	_
9	wanting	_	_	VERB	VERB	_	_	5	5	advcl	advcl	Y	V.01	_	_	ARGM-MNR	_
10	nuclear	_	_	ADJ	ADJ	_	_	11	11	amod	amod	_	_	_	_	_	_
11	weapons	_	_	NOUN	NOUN	_	_	9	9	obj	obj	_	_	_	_	_	ARG1
12	.	_	_	PUNCT	PUNCT	_	_	2	2	punct	punct	_	_	_	_	_	_

1	They	_	_	PRON	PRON	_	_	5	5	nsubj	nsubj	_	_	_	ARG1	_	_
2	are	_	_	AUX	AUX	_	_	5	5	aux	aux	Y	V.03	_	_	_	_
3	certainly	_	_	ADV	ADV	_	_	5	5	advmod	advmod	_	_	_	ARGM-ADV	_	_
4	being	_	_	AUX	AUX	_	_	5	5	cop	cop	Y	V.01	_	_	_	_
5	nasty	_	_	ADJ	ADJ	_	_	0	0	root	root	Y	V.01	_	ARG2	_	_
6	to	_	_	ADP	ADP	_	_	10	10	case	case	_	_	_	_	_	_
7	the	_	_	DET	DET	_	_	11	11	det	det	_	_	_	_	_	_
8	United	_	_	PROPN	PROPN	_	_	9	9	compound	compound	_	_	_	_	_	_
9	Nations	_	_	PROPN	PROPN	_	_	11	11	compound	compound	_	_	_	_	_	_
10	Security	_	_	PROPN	PROPN	_	_	11	11	compound	compound	_	_	_	_	_	_
