1	Dick	_	_	_	_	_	_	5	5	_	_	_	_	_	_	_	_	_	_	_	_	ARG0
2	could	_	_	_	_	_	_	5	5	_	_	_	_	_	_	_	_	_	_	_	_	ARGM-MOD
3	never	_	_	_	_	_	_	5	5	_	_	_	_	_	_	_	_	_	_	_	_	ARGM-NEG
4	thereafter	_	_	_	_	_	_	5	5	_	_	_	_	_	_	_	_	_	_	_	_	ARGM-TMP
5	get	_	_	_	_	_	_	0	0	ROOT	ROOT	Y	get.01	_	_	_	_	_	_	_	_	_
6	any	_	_	_	_	_	_	8	8	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
7	real	_	_	_	_	_	_	8	8	_	_	_	_	_	_	_	_	_	_	_	_	ARGM-ADJ
8	cooperation	_	_	_	_	_	_	5	5	_	_	Y	cooperate.01	_	_	_	_	_	_	_	_	ARG1
9	from	_	_	_	_	_	_	12	12	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
10	the	_	_	_	_	_	_	12	12	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
11	cabinet	_	_	_	_	_	_	12	12	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
12	officers	_	_	_	_	_	_	8	8	_	_	_	_	_	_	_	_	_	_	_	_	ARG0
13	,	_	_	_	_	_	_	12	12	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
14	who	_	_	_	_	_	_	15	15	_	_	_	_	_	_	_	_	_	_	_	_	R-ARG0
15	outranked	_	_	_	_	_	_	12	12	NOUN	NOUN	Y	outrank.01	_	_	_	_	_	_	_	_	_
16	him	_	_	_	_	_	_	15	15	_	_	_	_	_	_	_	_	_	_	_	_	ARG1
17	,	_	_	_	_	_	_	22	22	VERB	VERB	_	_	_	_	_	_	_	_	_	_	_
18	and	_	_	_	_	_	_	22	22	VERB	VERB	_	_	_	_	_	_	_	_	_	_	_
19	he	_	_	_	_	_	_	22	22	_	_	_	_	_	_	_	_	_	_	_	_	ARG0
20	could	_	_	_	_	_	_	22	22	_	_	_	_	_	_	_	_	_	_	_	_	ARGM-MOD
21	not	_	_	_	_	_	_	22	22	_	_	_	_	_	_	_	_	_	_	_	_	ARGM-NEG
22	convince	_	_	_	_	_	_	5	5	VERB	VERB	Y	convince.01	_	_	_	_	_	_	_	_	_
23	them	_	_	_	_	_	_	22	22	_	_	_	_	_	_	_	_	_	_	_	_	ARG1
24	to	_	_	_	_	_	_	25	25	VERB	VERB	_	_	_	_	_	_	_	_	_	_	_
25	go	_	_	_	_	_	_	22	22	_	_	Y	go.02	_	_	_	_	_	_	_	_	ARG2
26	to	_	_	_	_	_	_	28	28	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
27	battle	_	_	_	_	_	_	28	28	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
28	stations	_	_	_	_	_	_	25	25	_	_	_	_	_	_	_	_	_	_	_	_	ARG4
29	in	_	_	_	_	_	_	31	31	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
30	the	_	_	_	_	_	_	31	31	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
31	summer	_	_	_	_	_	_	25	25	_	_	_	_	_	_	_	_	_	_	_	_	ARGM-TMP
32	of	_	_	_	_	_	_	33	33	NUM	NUM	_	_	_	_	_	_	_	_	_	_	_
33	2001	_	_	_	_	_	_	31	31	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
34	when	_	_	_	_	_	_	39	39	_	_	_	_	_	_	_	_	_	_	_	_	ARGM-TMP
35	George	_	_	_	_	_	_	38	38	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
36	Tenet	_	_	_	_	_	_	35	35	PROPN	PROPN	_	_	_	_	_	_	_	_	_	_	_
37	's	_	_	_	_	_	_	35	35	PROPN	PROPN	_	_	_	_	_	_	_	_	_	_	_
38	hair	_	_	_	_	_	_	39	39	_	_	_	_	_	_	_	_	_	_	_	_	ARG1
39	was	_	_	_	_	_	_	42	42	NOUN	NOUN	Y	be.01	_	_	_	_	_	_	_	_	_
40	"	_	_	_	_	_	_	42	42	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
41	on	_	_	_	_	_	_	42	42	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
42	fire	_	_	_	_	_	_	22	22	_	_	Y	fire.05	_	_	_	_	_	_	_	_	ARGM-TMP
43	"	_	_	_	_	_	_	42	42	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
44	about	_	_	_	_	_	_	47	47	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
45	the	_	_	_	_	_	_	47	47	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
46	excited	_	_	_	_	_	_	47	47	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
47	chatter	_	_	_	_	_	_	42	42	_	_	_	_	_	_	_	_	_	_	_	_	ARGM-CAU
48	the	_	_	_	_	_	_	49	49	PROPN	PROPN	_	_	_	_	_	_	_	_	_	_	_
49	CIA	_	_	_	_	_	_	51	51	_	_	_	_	_	_	_	_	_	_	_	_	ARG0
50	was	_	_	_	_	_	_	51	51	VERB	VERB	Y	be.03	_	_	_	_	_	_	_	_	_
51	picking	_	_	_	_	_	_	47	47	NOUN	NOUN	Y	pick_up.011	_	_	_	_	_	_	_	_	_
52	up	_	_	_	_	_	_	51	51	VERB	VERB	_	_	_	_	_	_	_	_	_	_	_
53	from	_	_	_	_	_	_	56	56	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
54	radical	_	_	_	_	_	_	56	56	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
55	Islamist	_	_	_	_	_	_	56	56	NOUN	NOUN	_	_	_	_	_	_	_	_	_	_	_
56	terrorists	_	_	_	_	_	_	51	51	_	_	_	_	_	_	_	_	_	_	_	_	ARGM-DIR
